ID	Сборник	НАЗВАНИЕ	ГОД	ТЕКСТ
1	МОЗАИКА - ПАРАБОЛА	ГОЙЯ	1957	"Я — Гойя! Глазницы воронок мне выклевал ворог, 
слетая на поле нагое. 
Я - Горе. 
Я — голос войны, городов головни на снегу сорок первого года. Я —голод. 
Я — горло повешенной бабы, чье тело, как колокол, 
Я — Гойя! 
било над площадью голой... 
О, грозди возмездья! Взвил залпом на Запад — 
я пепел незваного гостя! И в мемориальное небо вбил крепкие звезды — 
как гвозди. Я — Гойя. "
2	МОЗАИКА - ПАРАБОЛА	ПОЖАР В АРХИТЕКТУРНОМ ИНСТИТУТЕ	1957	"Пожар в Архитектурном! По залам, чертежам, амнистией по тюрьмам - пожар! Пожар! 
По сонному фасаду бесстыже, озорно гориллой краснозадою взвивается окно! 
А мы уже дипломники, нам защищать пора. Трещат в шкафу под пломбами мои выговора! 
Ватман — как подраненный, красный листопад. 
Горят мои подрамники, города горят. 
Бутылью керосиновой взвилось пять лет и зим... Кариночка Красильникова, ой! Горим! 
Прощай, архитектура! Пылайте широко, коровники в амурах, райкомы в рококо! 
О юность, феникс, дурочка, весь в пламени диплом! Ты машешь красной юбочкой и дразнишь язычком. 
Прощай, пора окраин! Жизнь —смена пепелищ. Мы все перегораем. Живешь — горишь. 
А завтра, в палец чиркнувши, вонзится злей пчелы 
иголочка от циркуля из горсточки золы... 
...Все выгорело начисто. Милиции полно. Все  — кончено! Все  — начато! 
Айда в кино! "
3	МОЗАИКА - ПАРАБОЛА	НЕМЫЕ В МАГАЗИНЕ	1958	"Немых обсчитали. Немые вопили. Медяшек медали влипали в опилки. 
И гневным протестом, что все это сказки, кассирша, как тесто, вздымалась из кассы. 
И сразу по залам, по курам зеленым, пахнуло слезами, как будто озоном. 
О, слез этих запах в мычащей ораве. Два были без шапок. Их руки орали. 
А третий с беконом подобием мата ревел, как Бетховен, земно и лохмато! 
В стекло барабаня, ладони ломая, орала судьба моя глухонемая! 
Кассирша, осклабясь, косилась на солнце и ленинский абрис искала в полсотне. 
Но не было Ленина. Все было фальшью... Была бакалея. В ней люди и фарши. "
4	МОЗАИКА - ПАРАБОЛА	"""Эх, Россия!.."""	1957	"Эх, Россия!.. Эх, размах... Пахнет псиной в небесах. 
Мимо Марсов, Днепрогэсов, мачт, антенн, фабричных труб 
страшным символом прогресса носится собачий труп. "
5	МОЗАИКА - ПАРАБОЛА	ТУМАННАЯ УЛИЦА	1958	"Туманный пригород как турман. Туман. Как поплавки, милиционеры. Который век? Которой эры? 
Все — по частям, подобно бреду. Людей как будто развинтили... Бреду. Верней — барахтаюсь в ватине. 
Носы. Подфарники. Околыши. Они, как в фодисе, двоятся. Калоши? Как бы башкой не обменяться! 
Так женщина — от губ едва, двоясь и что-то воскрешая, уж не любимая — вдова, еще — твоя, уже —чужая... 
О тумбы, о прохожих трусь я... Венера? Продавец мороженого!.. Друзья? Ох эти яго доморощенные! 
Я спотыкаюсь, бьюсь, живу, туман, туман — не разберешься, о чью щеку в тумане трешься?.. Ау! 
Туман, туман — не дозовешься... "
6	МОЗАИКА - ПАРАБОЛА	ПАРАБОЛИЧЕСКАЯ БАЛЛАДА	1958	"Судьба, как ракета, летит по параболе обычно — во мраке и реже — по радуге. Жил огненно-рыжий художник Гоген, богема, а в прошлом - торговый агент. Чтоб в Лувр королевский попасть из Монмартра, он дал кругаля через Яву с Суматрой! 
Унесся, забыв сумасшествие денег, кудахтанье жен и дерьмо академий. Он преодолел тяготенье земное. 
Жрецы гоготали за кружкой пивною: «Прямая — короче, парабола — круче, не лучше ль скопировать райские кущи?» 
А он уносился ракетой ревущей сквозь ветер, срывающий фалды и уши. И в Лувр он попал не сквозь главный порог — параболой гневно пробив потолок! 
Идут к своим правдам, по-разному храбро, червяк - через щель, человек — по параболе. 
Жила-была девочка, рядом в квартале. Мы с нею учились, зачеты сдавали. Куда ж я уехал! И черт меня нес меж грузных тбилисских двусмысленных звезд! 
Прости мне дурацкую эту параболу. Простывшие плечики в черном парадном... О, как ты звенела во мраке Вселенной упруго и прямо —как прутик антенны! А я все лечу, приземляясь по ним - земным и озябшим твоим позывным. Как трудно дается нам эта парабола!.. 
Сметая каноны, прогнозы, параграфы, несутся искусство, любовь и история — по параболической траектории! 
В Сибирь уезжает он нынешней ночью. А может быть, все же прямая — короче? "
7	МОЗАИКА - ПАРАБОЛА	БЬЮТ ЖЕНЩИНУ	1960	"Бьют женщину. Блестит белок. В машине темень и жара. И бьются ноги в потолок, как белые прожектора! 
Бьют женщину. Так бьют рабынь. Она в заплаканной красе срывает ручку как рубильник, выбрасываясь на шоссе! 
И взвизгивали тормоза. К ней подбегали тормоша. И волочили и лупили Лицом по лугу и крапиве... 
Подонок, как он бил подробно, стиляга, Чайльд-Гарольд, битюг! Вонзался в дышащие ребра ботинок узкий, как утюг. 
О, упоенье оккупанта, изыски деревенщины... У поворота на Купавну бьют женщину. 
Бьют женщину. Веками бьют, бьют юность, бьет торжественно набата свадебного гуд, бьют женщину. 
А от жаровен на щеках горящие затрещины? Мещанство, быт - да еще как! - бьют женщину. 
Но чист ее высокий свет, отважный и божественный. Религий — нет, знамений - нет. Есть Женщина!.. 
...Она как озеро лежала стояли очи как вода и не ему принадлежала как просека или звезда 
и звезды по небу стучали как дождь о черное стекло и скатываясь остужали ее горячее чело "
8	МОЗАИКА - ПАРАБОЛА	ПОТЕРЯННАЯ БАЛЛАДА	1962	"В час осенний, сквозь лес опавший, осеняюще и опасно в нас влетают, как семена, чьи-то судьбы и имена. 
Это Переселенье Душ. В нас вторгаются чьи-то тени, как в кадушках растут растенья... 
В нервной клинике 300 душ. 
Бывший зодчий вопит: «Я —Гойя». Его шваброй на койку гонят. 
А в ту вселился райсобес — всем раздаст и ходит без... 
А пацанка сидит в углу. Что таит в себе - ни гугу. У ней —зрачки киноактрисы косят, как кисточки у рыси... 
Той актрисе все опостылело, как пустынна ее Потылиха! Подойдет, улыбнуться силясь: «Я в кого-то переселилась! Разбежалась, как с бус стеклярус. Потерялась я, потерялась!..» 
Она ходит, сопоставляет, нас, как стулья, переставляет. И уставится из угла, как пустынный костел, гулка. 
Машинально она - жена. Машинально она - жива. Машинальны вокруг бутылки, 
и ухмылки скользят обмылками. Как украли ее лабазно!.. 
А ночами за лыжной базой три костра она разожжет и на снег крестом упадет 
потрясенно и беспощадно как посадочная площадка 
пахнет жаром смолой лыжней ждет лежит да снежок лизнет самолет ушел —не догонишь 
Ненайденыш мой, ненайденыш! Потерять себя - не пустяк, вся бежишь, как вода в горстях... 
А вчера, столкнувшись в гостях, я увижу, что ты —не ты, сквозь проснувшиеся черты - тревожно и радостно, 
как птица, в лице твоем, как залетевшая в фортку птица, бьет пропавшая красота... 
«Ну вот, - ты скажешь, - я и нашлась, кажется... В новой ленте играю... В 2-х сериях... Если только первую пробу, блин, не зарубят!..» "
9	МОЗАИКА - ПАРАБОЛА	ПЕРВЫЙ ЛЕД	1956	"Мерзнет девочка в автомате, прячет в зябкое пальтецо все в слезах и губной помаде перемазанное лицо. 
Дышит в худенькие ладошки. Пальцы - льдышки. В ушах - 
сережки. Ей обратно одной, одной вдоль по улочке ледяной. 
Первый лед. Это в первый раз. Первый лед телефонных фраз. 
Мерзлый след на щеках блестит - первый лед от людских обид. 
Поскользнешься. Ведь в первый раз. Бьет по радио поздний час. 
Эх, раз, еще раз, еще много, много раз. "
10	МОЗАИКА - ПАРАБОЛА	"""К нам забредал Булат..."""	1960	"К нам забредал Булат под небо наших хижин костлявый как бурлак он молод был и хищен 
и огненной настурцией робея и наглея гитара как натурщица лежала на коленях 
она была смирней чем в таинстве дикарь и темный город в ней гудел и затихал 
а то как в реве цирка вся не в своем уме — горящим мотоциклом носилась по стене! 
мы — дети тех гитар отважных и дрожащих между подруг дражайших неверных как янтарь 
среди ночных фигур ты губы морщишь едко 
к ним как бикфордов шнур крадется сигаретка "
