СТИЛЬ;ИЗДАТЕЛЬСТВО;СБОРНИК;ТИРАЖ;ГОД
СТИХИ;СОВЕТСКИЙ ПИСАТЕЛЬ;Парабола;8000;1960
СТИХИ;Владимирское книжное издание;Мозаика;5000;1960
СТИХИ;СОВЕТСКИЙ ПИСАТЕЛЬ;40 лирических отступлений из поэмы треугольная груша;50000;1962
СТИХИ;МОЛОДАЯ ГВАРДИЯ;Антимиры;60000;1964
СТИХИ;ХУДОЖЕСТВЕННАЯ ЛИТЕРАТУРА;Ахилесово сердце;100000;1966
СТИХИ;ХУДОЖЕСТВЕННАЯ ЛИТЕРАТУРА;АНДРЕЙ АНДРЕЕВИЧ ВОЗНЕСЕНСКИЙ СТИХИ;10000;1967
СТИХИ;ХУДОЖЕСТВЕННАЯ ЛИТЕРАТУРА;РОССИЯ - РОДИНА моя ;10000;1967
СТИХИ;МОЛОДАЯ ГВАРДИЯ;Тень звука;10000;1970
СТИХИ;СОВЕТСКИЙ ПИСАТЕЛЬ;Взгляд;100000;1972
СТИХИ;СОВРЕМЕННИК;Выпусти птицу!;50000;1974
СТИХИ;ХУДОЖЕСТВЕННАЯ ЛИТЕРАТУРА;Дубовый лист виолончельный;100000;1975
СТИХИ;МОЛОДАЯ ГВАРДИЯ;Витражных дел мастер;130000;1976
СТИХИ;СОВЕТСКИЙ ПИСАТЕЛЬ;Соблазн;200000;1979
СТИХИ;ДЕТСКАЯ ЛИТЕРАТУРА;Избранная лирика;100000;1979
СТИХИ;СОВЕТСКИЙ ПИСАТЕЛЬ;Безотчетное;100000;1981
СТИХИ;ХУДОЖЕСТВЕННАЯ ЛИТЕРАТУРА;СОБРАНИЕ СОЧИНЕНИЙ в трех томах - ТОМ 1;75000;1983
СТИХИ;МЕРАНИ;Иверский свет;75000;1984
СТИХИ;ХУДОЖЕСТВЕННАЯ ЛИТЕРАТУРА;СОБРАНИЕ СОЧИНЕНИЙ в трех томах - ТОМ 2;75000;1984
СТИХИ;ХУДОЖЕСТВЕННАЯ ЛИТЕРАТУРА;СОБРАНИЕ СОЧИНЕНИЙ в трех томах - ТОМ 3;75000;1984
ПРОЗА;СОВЕТСКИЙ ПИСАТЕЛЬ;Прорабы духа;200000;1984
СТИХИ;СОВЕТСКИЙ ПИСАТЕЛЬ;Ров;200000;1987
СТИХИ;СОВЕТСКИЙ ПИСАТЕЛЬ;Ров;100000;1989
СТИХИ;ПРАВДА;Аксиома самоиска;200000;1990
СТИХИ;МОЛОДАЯ ГВАРДИЯ;Вознесенский А . А . Стихотворения;200000;1991
МИКС;РИК «Культура» ;Видеомы. Стихи, визуальные объекты, проза. ;1000;1992
СТИХИ;Аргументы и факты;Гадание по книге;1000;1994
СТИХИ;Белорусский Дом печати;Не отрекусь. Избранная лирика;100000;1996
СТИХИ;ТЕРРА;CASINO “РОССИЯ” Новые стихи и видеомы;10000;1997
ПРОЗА;ВАГРИУС;На виртуальном ветру;25000;1998
СТИХИ;ЭКСМО;Страдивари состраданья;12000;1999
